100K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,MTransE,0.13743,0.26469,0.3332,0.52747,"1,928.28",0.203,0.13804,0.26314,0.33131,0.53139,"1,865.65",0.204,0.13789,0.25581,0.32124,0.50871,"2,119.96",0.2,0.14057,0.26339,0.33074,0.52603,"2,118.19",0.205,0.1344,0.25769,0.32783,0.52654,"1,999.83",0.199,0.13767,0.0022,0.26094,0.00393,0.32886,0.00468,0.52403,0.00882,"2,006.38",113.3,0.202,0.002
,IPTransE,0.16159,0.283,0.34489,0.511,"4,145.69",0.224,0.1587,0.27574,0.33641,0.50404,"4,135.23",0.219,0.15954,0.28264,0.34466,0.51889,"3,990.39",0.223,0.1509,0.26414,0.31803,0.47161,"4,641.86",0.209,0.1589,0.27911,0.34027,0.50734,"4,000.84",0.221,0.15793,0.00409,0.27693,0.00773,0.33685,0.01109,0.50258,0.01817,"4,182.80",266.694,0.219,0.006
,JAPE,0.16926,0.31209,0.38771,0.59294,"1,461.81",0.243,0.16279,0.308,0.38466,0.59516,"1,375.84",0.238,0.1646,0.30781,0.38464,0.59519,"1,354.67",0.239,0.16499,0.30817,0.38624,0.59207,"1,482.67",0.239,0.16469,0.31191,0.38977,0.60206,"1,326.61",0.24,0.16527,0.00239,0.3096,0.0022,0.3866,0.00218,0.59548,0.00392,"1,400.32",68.333,0.24,0.002
,KDCoE,0.47779,0.51283,0.5276,0.56759,"2,766.87",0.496,0.47947,0.51217,0.52634,0.56391,"2,855.14",0.496,0.49009,0.52646,0.5413,0.58219,"2,601.28",0.508,0.48311,0.51393,0.52637,0.5587,"3,098.69",0.499,0.47907,0.51197,0.52639,0.56304,"2,819.36",0.496,0.48191,0.00498,0.51547,0.00619,0.5296,0.00656,0.56709,0.00902,"2,828.27",179.738,0.499,0.005
,BootEA,0.3903,0.56303,0.64257,0.84051,"1,627.57",0.475,0.38359,0.55614,0.63517,0.83554,"1,649.68",0.468,0.39369,0.56571,0.64664,0.8435,"1,575.63",0.479,0.38703,0.55951,0.63894,0.8381,"1,686.75",0.472,0.38899,0.56091,0.6413,0.84174,"1,563.14",0.474,0.38872,0.00376,0.56106,0.00361,0.64092,0.00426,0.83988,0.00312,"1,620.56",51.462,0.474,0.004
,GCN-Align,0.23143,0.41336,0.50361,0.69281,"4,054.78",0.321,0.22789,0.4094,0.49849,0.6886,"4,227.19",0.317,0.23323,0.41751,0.50874,0.69821,"3,963.33",0.323,0.2279,0.40954,0.49909,0.68654,"4,131.53",0.316,0.23024,0.40971,0.50247,0.69036,"4,135.71",0.319,0.23014,0.00231,0.4119,0.00354,0.50248,0.00412,0.6913,0.0045,"4,102.51",98.916,0.319,0.003
,AttrE,0.42967,0.59731,0.6553,0.76881,477.803,0.509,0.39037,0.56014,0.61993,0.74419,560.972,0.471,0.38597,0.55399,0.61549,0.74053,611.421,0.466,0.39387,0.56171,0.62096,0.74414,597.411,0.473,0.41756,0.58559,0.64383,0.75964,502.614,0.497,0.40349,0.01907,0.57175,0.01868,0.6311,0.01746,0.75146,0.01218,550.044,58.306,0.483,0.019
,IMUSE,0.43964,0.54771,0.58959,0.7005,"1,434.72",0.493,0.43629,0.54163,0.58293,0.6909,"1,594.69",0.489,0.43757,0.54239,0.58344,0.69243,"1,604.72",0.489,0.43926,0.55134,0.59557,0.70983,"1,320.57",0.494,0.44033,0.54913,0.59416,0.70763,"1,318.46",0.494,0.43862,0.00165,0.54644,0.00425,0.58914,0.00587,0.70026,0.00859,"1,454.63",140.583,0.492,0.003
,SEA,0.21633,0.38464,0.47403,0.7143,"1,593.59",0.302,0.24109,0.41747,0.50956,0.7548,"1,476.76",0.331,0.22513,0.39887,0.4911,0.73806,"1,530.06",0.314,0.22961,0.40533,0.49884,0.74619,"1,466.00",0.32,0.21437,0.38827,0.4793,0.72509,"1,543.36",0.303,0.22531,0.01081,0.39892,0.01325,0.49057,0.0144,0.73569,0.01621,"1,521.96",52.032,0.314,0.012
