100K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,RSN4EA,0.29844,0.46144,0.53929,0.70241,"1,032.94",0.378,0.2908,0.4462,0.52373,0.68521,"1,243.72",0.367,0.29284,0.45134,0.52666,0.68669,"1,119.30",0.371,0.29109,0.45233,0.53036,0.69116,"1,159.82",0.37,0.28949,0.44846,0.52671,0.68683,"1,208.34",0.367,0.29253,0.00351,0.45195,0.00583,0.52935,0.00603,0.69046,0.00704,"1,152.83",81.989,0.371,0.004
,MultiKE,0.62859,0.6794,0.70007,0.75337,"1,125.20",0.654,0.6272,0.68061,0.70147,0.75371,"1,180.13",0.653,0.62811,0.6788,0.6997,0.75374,"1,219.38",0.653,0.62899,0.68024,0.70123,0.7542,"1,210.35",0.655,0.63264,0.68297,0.70323,0.75431,"1,174.08",0.658,0.62911,0.00209,0.6804,0.0016,0.70114,0.00139,0.75387,0.00039,"1,181.83",37.061,0.655,0.002
,RDGCN,0.63819,0.72964,0.76644,0.82434,"2,008.23",0.682,0.64151,0.73237,0.7676,0.8265,"2,043.09",0.684,0.64254,0.73487,0.76879,0.82736,"2,115.01",0.686,0.64457,0.73539,0.76909,0.82769,"2,049.42",0.688,0.63391,0.72669,0.76097,0.81981,"2,159.67",0.677,0.64014,0.00418,0.73179,0.00365,0.76658,0.00331,0.82514,0.00325,"2,075.08",61.031,0.683,0.004
EN-DE,MTransE,0.13827,0.26393,0.33024,0.50861,"2,271.62",0.203,0.13661,0.26049,0.32443,0.49587,"2,527.59",0.2,0.13804,0.25874,0.32349,0.49513,"2,369.13",0.201,0.14431,0.26827,0.33386,0.50489,"2,428.56",0.208,0.14293,0.26749,0.33261,0.50656,"2,281.65",0.207,0.14003,0.00337,0.26378,0.00419,0.32893,0.00473,0.50221,0.00627,"2,375.71",106.751,0.204,0.004
,IPTransE,0.22579,0.35616,0.41667,0.57536,"2,587.07",0.291,0.20399,0.32829,0.3868,0.53381,"3,170.78",0.267,0.24089,0.37941,0.44419,0.61319,"2,247.71",0.31,0.23581,0.3687,0.43096,0.5962,"2,473.02",0.303,0.22316,0.35279,0.41363,0.56981,"2,696.02",0.288,0.22593,0.01423,0.35707,0.01925,0.41845,0.02149,0.57767,0.02998,"2,634.92",342.534,0.292,0.017
,JAPE,0.15117,0.29129,0.36486,0.54936,"1,297.66",0.222,0.1576,0.29696,0.3735,0.55851,"1,228.37",0.229,0.14307,0.27731,0.3513,0.5393,"1,395.09",0.212,0.15097,0.28789,0.36206,0.54859,"1,185.24",0.221,0.15864,0.3006,0.37441,0.55714,"1,199.79",0.231,0.15229,0.00626,0.29081,0.00901,0.36523,0.00945,0.55058,0.00772,"1,261.23",86.423,0.223,0.007
,KDCoE,0.51749,0.60536,0.645,0.74334,973.735,0.562,0.4922,0.57221,0.60696,0.70226,"1,025.93",0.533,0.52306,0.6144,0.6521,0.74701,967.546,0.568,0.50657,0.58943,0.62513,0.71839,961.63,0.549,0.49233,0.57299,0.60866,0.69761,"1,199.67",0.533,0.50633,0.01414,0.59088,0.01893,0.62757,0.02058,0.72172,0.02279,"1,025.70",100.564,0.549,0.016
,BootEA,0.51917,0.67281,0.74071,0.8791,"1,193.88",0.593,0.51434,0.66756,0.73797,0.87733,"1,261.40",0.588,0.5194,0.67336,0.74291,0.8802,"1,243.74",0.593,0.52264,0.67543,0.74321,0.88033,"1,221.02",0.596,0.5163,0.67339,0.74099,0.87887,"1,225.34",0.591,0.51837,0.00318,0.67251,0.00294,0.74116,0.0021,0.87917,0.00121,"1,229.08",25.383,0.592,0.003
,GCN-Align,0.32579,0.49647,0.57439,0.74624,"2,656.10",0.408,0.31747,0.48146,0.55854,0.72796,"2,811.00",0.398,0.32034,0.4887,0.56636,0.73571,"2,753.98",0.402,0.31579,0.4829,0.5616,0.72853,"2,837.83",0.398,0.3076,0.47564,0.5532,0.72086,"2,947.59",0.39,0.3174,0.00666,0.48503,0.0079,0.56282,0.00804,0.73186,0.0096,"2,801.30",107.414,0.399,0.007
,AttrE,0.39113,0.5453,0.60399,0.72836,472.986,0.465,0.39644,0.55021,0.60846,0.7344,465.642,0.47,0.41509,0.57107,0.62797,0.7524,404.713,0.49,0.40106,0.55863,0.61709,0.73979,446.607,0.476,0.38944,0.54247,0.59961,0.7261,501.799,0.463,0.39863,0.01028,0.55354,0.01156,0.61142,0.01129,0.73621,0.01051,458.349,35.951,0.473,0.011
,IMUSE,0.4207,0.51529,0.55436,0.65354,"1,276.65",0.468,0.4147,0.50977,0.54901,0.64759,"1,368.53",0.462,0.41967,0.51543,0.55389,0.65373,"1,289.16",0.467,0.42023,0.51611,0.55603,0.65767,"1,303.98",0.469,0.42757,0.52437,0.56304,0.66183,"1,255.99",0.476,0.42057,0.00459,0.51619,0.00523,0.55527,0.00507,0.65487,0.0053,"1,298.86",42.736,0.469,0.005
,SEA,0.34473,0.50679,0.58703,0.77374,962.31,0.425,0.36081,0.52504,0.60529,0.7857,966.848,0.442,0.32251,0.48304,0.56176,0.75581,"1,004.63",0.403,0.34763,0.50776,0.58869,0.77564,991.881,0.428,0.32703,0.48713,0.56766,0.75774,"1,014.97",0.407,0.34054,0.0157,0.50195,0.01708,0.58209,0.01752,0.76973,0.01268,988.127,23.054,0.421,0.016
,RSN4EA,0.43003,0.57187,0.63291,0.75911,966.858,0.498,0.43169,0.56951,0.63161,0.75991,994.042,0.499,0.42997,0.571,0.63219,0.75637,918.211,0.498,0.42804,0.56947,0.63196,0.75937,997.511,0.496,0.42823,0.56859,0.62889,0.75329,"1,040.99",0.495,0.42959,0.0015,0.57009,0.00132,0.63151,0.00154,0.75761,0.00278,983.523,45.146,0.497,0.001
,MultiKE,0.66596,0.71156,0.73053,0.77739,668.455,0.689,0.6696,0.71389,0.73209,0.77869,725.179,0.692,0.66789,0.71283,0.73176,0.77833,746.782,0.69,0.66696,0.7091,0.7271,0.77354,739.444,0.688,0.6696,0.71224,0.72903,0.77196,786.197,0.691,0.668,0.00161,0.71192,0.0018,0.7301,0.00206,0.77598,0.00304,733.211,42.686,0.69,0.001
,RDGCN,0.72441,0.79586,0.82161,0.87086,984.773,0.758,0.72146,0.7943,0.82067,0.87234,911.79,0.756,0.71936,0.79023,0.81644,0.86811,987.273,0.753,0.7224,0.79361,0.82091,0.87113,910.815,0.757,0.72274,0.79581,0.82146,0.87094,889.538,0.757,0.72207,0.00185,0.79396,0.0023,0.82022,0.00215,0.87068,0.00155,936.838,45.78,0.756,0.002
D-W,MTransE,0.20629,0.3588,0.42707,0.56679,"2,057.35",0.28,0.20896,0.35509,0.42107,0.55464,"2,204.27",0.279,0.21347,0.35893,0.42817,0.56347,"2,153.40",0.284,0.20813,0.35721,0.42543,0.56466,"2,096.58",0.28,0.21206,0.36221,0.42927,0.56591,"2,004.32",0.285,0.20978,0.00293,0.35845,0.00261,0.4262,0.0032,0.56309,0.00489,"2,103.18",78.512,0.282,0.003
,IPTransE,0.22011,0.34837,0.40467,0.53014,"5,300.99",0.283,0.21421,0.34033,0.39426,0.5128,"5,524.28",0.276,0.22467,0.35459,0.41217,0.5367,"5,281.02",0.288,0.22507,0.3598,0.41911,0.55069,"4,937.84",0.291,0.22191,0.35807,0.41726,0.54757,"5,014.43",0.288,0.22119,0.0044,0.35223,0.00796,0.40949,0.01019,0.53558,0.01518,"5,211.71",236.853,0.285,0.006
,JAPE,0.21141,0.37447,0.44873,0.6024,"1,485.08",0.29,0.20783,0.36306,0.43497,0.58197,"1,802.28",0.283,0.21731,0.37044,0.4442,0.59133,"1,919.70",0.292,0.20994,0.36924,0.44221,0.59193,"1,628.39",0.287,0.2094,0.36777,0.44016,0.58973,"1,597.18",0.286,0.21118,0.00366,0.369,0.00415,0.44205,0.00507,0.59147,0.0073,"1,686.53",172.996,0.287,0.004
,BootEA,0.52439,0.69269,0.7522,0.85374,"2,300.04",0.601,0.51564,0.68376,0.74559,0.85079,"2,301.54",0.593,0.51023,0.67814,0.74026,0.84499,"2,359.93",0.588,0.51819,0.68746,0.74836,0.85091,"2,290.69",0.596,0.51166,0.6809,0.74249,0.84751,"2,329.80",0.59,0.51602,0.00564,0.68459,0.0057,0.74578,0.00472,0.84959,0.00339,"2,316.40",28.389,0.594,0.005
,KDCoE,0.15219,0.23177,0.26291,0.32869,"10,892.95",0.19,0.1602,0.24763,0.28311,0.35634,"10,316.30",0.202,0.15653,0.24336,0.27819,0.35029,"10,336.47",0.198,0.15739,0.24303,0.27946,0.35431,"10,421.41",0.199,0.15997,0.25086,0.28836,0.3655,"10,165.58",0.204,0.15726,0.00325,0.24333,0.00723,0.27841,0.00952,0.35103,0.01367,"10,426.54",276.553,0.199,0.005
,GCN-Align,0.32429,0.509,0.58279,0.69413,"5,671.93",0.41,0.32103,0.5029,0.57643,0.68999,"5,838.74",0.406,0.32173,0.50256,0.57546,0.69197,"5,788.78",0.406,0.32526,0.5115,0.5854,0.69824,"5,621.11",0.412,0.32573,0.50949,0.5811,0.69453,"5,750.65",0.411,0.32361,0.00211,0.50709,0.00409,0.58024,0.00422,0.69377,0.00309,"5,734.24",87.814,0.409,0.003
,AttrE,0.20464,0.32793,0.38591,0.52884,"1,418.91",0.267,0.21467,0.34461,0.40503,0.55271,"1,275.64",0.28,0.21931,0.3489,0.40786,0.5549,"1,281.84",0.284,0.19974,0.32369,0.38087,0.52003,"1,508.36",0.262,0.20654,0.33201,0.39137,0.5365,"1,382.52",0.27,0.20898,0.00789,0.33543,0.01086,0.39421,0.01181,0.5386,0.01508,"1,373.45",97.863,0.273,0.009
,IMUSE,0.28346,0.44974,0.5242,0.68729,"3,043.31",0.365,0.27204,0.4272,0.49717,0.65119,"3,359.69",0.348,0.28279,0.44704,0.52009,0.68039,"3,177.70",0.363,0.25941,0.41214,0.48111,0.6364,"3,526.89",0.334,0.2824,0.44663,0.52346,0.68397,"3,009.38",0.363,0.27602,0.01041,0.43655,0.01635,0.50921,0.01924,0.66785,0.0227,"3,223.40",218.518,0.355,0.013
,SEA,0.2797,0.4563,0.53793,0.70836,"2,536.86",0.366,0.30591,0.48844,0.57297,0.74344,"2,455.05",0.394,0.30059,0.48103,0.56401,0.73624,"2,539.16",0.388,0.2841,0.4611,0.54309,0.71673,"2,509.65",0.37,0.28374,0.4608,0.54353,0.71459,"2,491.11",0.37,0.29081,0.01164,0.46953,0.01425,0.55231,0.01527,0.72387,0.01511,"2,506.37",34.936,0.378,0.013
,RSN4EA,0.38607,0.53847,0.59776,0.70699,"1,040.28",0.458,0.3859,0.53423,0.59093,0.69619,"1,315.04",0.456,0.37669,0.52554,0.58197,0.68977,"1,264.35",0.447,0.38159,0.5281,0.58576,0.69473,"1,225.78",0.451,0.38759,0.53999,0.59851,0.70671,"1,113.87",0.459,0.38357,0.00445,0.53327,0.00632,0.59099,0.00726,0.69888,0.00766,"1,191.86",112.515,0.454,0.005
,MultiKE,0.28599,0.34921,0.38161,0.47897,"1,897.96",0.32,0.28987,0.35664,0.3913,0.50001,"1,859.64",0.326,0.29586,0.3679,0.404,0.51153,"1,629.92",0.334,0.28186,0.34491,0.376,0.47669,"2,147.92",0.315,0.29663,0.3687,0.40646,0.52216,"1,664.71",0.335,0.29004,0.00634,0.35747,0.01074,0.39187,0.01339,0.49787,0.01992,"1,840.03",208.216,0.326,0.009
,RDGCN,0.363,0.48559,0.53709,0.6288,"4,179.77",0.421,0.35921,0.48351,0.53444,0.62716,"4,348.18",0.418,0.36136,0.48523,0.53547,0.62566,"4,232.73",0.42,0.36293,0.48456,0.53659,0.62566,"4,200.73",0.42,0.36416,0.48807,0.53957,0.62961,"4,173.35",0.423,0.36213,0.00191,0.48539,0.00169,0.53663,0.00194,0.62738,0.0018,"4,226.95",71.619,0.42,0.002
D-Y,MTransE,0.24113,0.4116,0.4923,0.67721,860.341,0.325,0.24051,0.4069,0.48644,0.67414,"1,101.02",0.323,0.24901,0.42259,0.50527,0.68944,921.455,0.335,0.24336,0.41197,0.49401,0.68574,931.914,0.327,0.2463,0.41749,0.49876,0.6788,944.682,0.331,0.24406,0.00358,0.41411,0.00605,0.49536,0.00708,0.68107,0.00632,951.882,89.44,0.328,0.005
,IPTransE,0.40541,0.57249,0.64204,0.77609,"1,947.63",0.485,0.38401,0.54093,0.60617,0.74217,"2,202.70",0.46,0.37839,0.53579,0.60149,0.73527,"2,362.78",0.454,0.40589,0.57186,0.63856,0.77034,"2,051.78",0.485,0.40687,0.57056,0.63687,0.76381,"2,141.91",0.485,0.39611,0.01377,0.55833,0.01833,0.62503,0.01951,0.75754,0.01788,"2,141.36",156.802,0.474,0.015
,JAPE,0.29796,0.48663,0.57211,0.75446,517.188,0.39,0.28536,0.47154,0.5568,0.73863,622.114,0.376,0.28746,0.47309,0.55889,0.73811,589.533,0.378,0.27739,0.46431,0.55026,0.73694,523.872,0.369,0.2883,0.47664,0.56224,0.74347,532.29,0.38,0.28729,0.00736,0.47444,0.00816,0.56006,0.00803,0.74232,0.00723,556.999,46.345,0.379,0.007
,KDCoE,0.56683,0.64893,0.6838,0.76359,"1,116.20",0.607,0.5645,0.64489,0.67829,0.76014,"1,148.00",0.604,0.56329,0.64397,0.67967,0.75953,"1,140.90",0.603,0.56606,0.64534,0.67774,0.7537,"1,253.42",0.605,0.56403,0.64446,0.68089,0.76167,"1,219.54",0.604,0.56494,0.00146,0.64552,0.00197,0.68008,0.00242,0.75973,0.00372,"1,175.61",58.056,0.605,0.002
,BootEA,0.70457,0.829,0.87254,0.94786,944.83,0.762,0.70903,0.83124,0.87469,0.94784,921.953,0.766,0.70261,0.82649,0.87071,0.94699,950.029,0.76,0.70209,0.8267,0.87116,0.94636,"1,001.93",0.76,0.69893,0.8236,0.87017,0.94557,936.808,0.757,0.70345,0.00372,0.82741,0.00288,0.87185,0.00181,0.94692,0.00098,951.109,30.321,0.761,0.003
,GCN-Align,0.53229,0.70064,0.76649,0.85434,"2,467.65",0.61,0.52901,0.69717,0.7608,0.84993,"2,554.76",0.606,0.52554,0.69007,0.75274,0.84334,"2,629.57",0.601,0.52949,0.69847,0.76193,0.85336,"2,409.57",0.607,0.52369,0.691,0.75406,0.84439,"2,879.56",0.601,0.528,0.0034,0.69547,0.00468,0.7592,0.00573,0.84907,0.00504,"2,588.22",183.14,0.605,0.004
,AttrE,0.65971,0.79843,0.84061,0.91683,84.216,0.724,0.68723,0.8167,0.85704,0.92636,68.069,0.747,0.69186,0.82036,0.85971,0.92767,68.269,0.751,0.69197,0.82037,0.85913,0.92716,70.135,0.751,0.65993,0.7952,0.83709,0.9141,82.448,0.723,0.67814,0.01683,0.81021,0.01237,0.85072,0.01095,0.92242,0.00644,74.627,8.011,0.739,0.015
,IMUSE,0.54941,0.71537,0.78277,0.89543,"1,065.50",0.627,0.54874,0.71317,0.77981,0.89263,"1,040.89",0.626,0.51614,0.68014,0.74761,0.87266,"1,213.71",0.594,0.54807,0.71224,0.77924,0.89307,"1,087.86",0.625,0.51701,0.67927,0.7468,0.87047,"1,263.01",0.594,0.53587,0.01763,0.70004,0.0186,0.76725,0.01835,0.88485,0.0122,"1,134.19",98.091,0.613,0.018
,SEA,0.45653,0.64797,0.72907,0.88179,857.349,0.547,0.5037,0.69144,0.76956,0.90391,805.722,0.592,0.51857,0.70526,0.78063,0.90823,847.981,0.606,0.43546,0.62319,0.7046,0.86679,"1,017.72",0.525,0.53517,0.71676,0.79019,0.91283,826.816,0.62,0.48989,0.04225,0.67692,0.03977,0.75481,0.03647,0.89471,0.01964,871.117,84.343,0.578,0.04
,RSN4EA,0.62256,0.77201,0.82643,0.9021,436.147,0.691,0.61936,0.76633,0.82087,0.89501,515.068,0.687,0.61854,0.7663,0.82193,0.89733,488.224,0.687,0.61876,0.76833,0.82263,0.89636,510.142,0.687,0.62001,0.7712,0.82637,0.90157,458.456,0.689,0.61985,0.00162,0.76883,0.00268,0.82365,0.00259,0.89847,0.00318,481.607,33.839,0.688,0.002
,MultiKE,0.88503,0.92163,0.9339,0.95789,55.334,0.902,0.88471,0.91907,0.93094,0.95591,74.246,0.901,0.87994,0.91586,0.92839,0.95576,72.526,0.897,0.89194,0.92719,0.93966,0.96391,53.481,0.909,0.88021,0.91711,0.92974,0.95689,62.512,0.898,0.88437,0.00487,0.92017,0.00449,0.93253,0.00448,0.95807,0.00337,63.62,9.551,0.901,0.005
,RDGCN,0.8986,0.952,0.96433,0.97991,72.572,0.922,0.8969,0.94941,0.96221,0.97794,76.337,0.92,0.89514,0.94807,0.96087,0.97786,78.488,0.919,0.89734,0.94996,0.96267,0.97936,75.012,0.921,0.89717,0.95019,0.96301,0.97981,77.591,0.921,0.89703,0.00124,0.94993,0.00142,0.96262,0.00126,0.97898,0.001,76,2.322,0.921,0.001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100K_V2,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,MTransE,0.08603,0.16956,0.2157,0.35313,"1,625.08",0.131,0.08996,0.17266,0.21807,0.34703,"1,681.76",0.134,0.09059,0.17623,0.22081,0.35531,"1,615.75",0.136,0.0889,0.1739,0.21933,0.35441,"1,605.31",0.134,0.09361,0.17619,0.2211,0.34881,"1,794.80",0.138,0.08982,0.00275,0.17371,0.00278,0.219,0.00221,0.35174,0.00363,"1,664.54",78.597,0.135,0.003
,IPTransE,0.23991,0.4425,0.53006,0.72057,213.71,0.338,0.22381,0.41276,0.49429,0.67941,283.521,0.315,0.23137,0.42023,0.50419,0.69029,294.67,0.323,0.24006,0.44987,0.53886,0.73017,205.846,0.341,0.23311,0.4292,0.51251,0.70094,256.426,0.328,0.23365,0.00676,0.43091,0.01533,0.51598,0.01833,0.70428,0.02098,250.835,40.073,0.329,0.01
,JAPE,0.12351,0.23943,0.29679,0.44959,949.14,0.183,0.1201,0.23207,0.28779,0.44001,981.95,0.178,0.12959,0.24547,0.30401,0.4587,971.421,0.189,0.1248,0.24029,0.29794,0.45081,961.533,0.184,0.12564,0.23857,0.29317,0.44863,959.598,0.184,0.12473,0.00344,0.23917,0.00479,0.29594,0.006,0.44955,0.00666,964.728,12.459,0.183,0.004
,KDCoE,0.62021,0.6639,0.67911,0.71826,567.769,0.642,0.59674,0.63819,0.65636,0.7032,617.881,0.618,0.60444,0.64541,0.6613,0.70389,609.146,0.625,0.62683,0.6739,0.69084,0.7364,464.579,0.65,0.60446,0.64503,0.66066,0.7021,618.2,0.625,0.61054,0.01248,0.65329,0.01496,0.66965,0.01471,0.71277,0.01477,575.515,65.412,0.632,0.014
,BootEA,0.63977,0.80523,0.85719,0.9477,72.026,0.715,0.63969,0.80594,0.85767,0.95064,72.137,0.716,0.64124,0.80477,0.8552,0.94734,68.426,0.716,0.64036,0.80653,0.85663,0.94796,70.222,0.716,0.63977,0.8069,0.85827,0.94684,72.88,0.716,0.64017,0.00066,0.80587,0.00088,0.85699,0.00117,0.9481,0.00148,71.138,1.804,0.716,0
,GCN-Align,0.25769,0.45217,0.53463,0.70583,736.163,0.351,0.2594,0.46047,0.54289,0.72043,689.09,0.355,0.25439,0.45307,0.53276,0.69797,813.775,0.349,0.25803,0.4548,0.53556,0.69983,779.547,0.352,0.25661,0.45477,0.53386,0.69984,771.234,0.351,0.25722,0.00187,0.45506,0.00323,0.53594,0.00402,0.70478,0.00924,757.962,47.37,0.351,0.002
,AttrE,0.45706,0.63594,0.69633,0.81267,128.755,0.541,0.47474,0.65059,0.71116,0.82706,105.881,0.557,0.45016,0.62674,0.68859,0.80641,129.139,0.533,0.4733,0.65307,0.71266,0.82581,108.691,0.557,0.4733,0.65184,0.71129,0.82363,111.075,0.557,0.46571,0.01133,0.64364,0.01172,0.70401,0.01091,0.81912,0.0091,116.708,11.324,0.549,0.011
,IMUSE,0.46183,0.60403,0.65839,0.76877,240.599,0.529,0.46369,0.6091,0.66491,0.78007,209.19,0.533,0.4554,0.5957,0.64784,0.76123,262.401,0.522,0.46251,0.60819,0.662,0.77801,211.394,0.532,0.46123,0.60601,0.65994,0.77379,222.718,0.53,0.46093,0.00322,0.60461,0.00535,0.65862,0.0065,0.77237,0.00759,229.26,22.314,0.529,0.004
,SEA,0.29579,0.50009,0.58831,0.78377,104.799,0.394,0.29451,0.49843,0.5875,0.78404,109.52,0.393,0.2958,0.49827,0.58867,0.78404,95.834,0.394,0.29977,0.50301,0.59239,0.7868,101.093,0.398,0.29923,0.50177,0.59187,0.78696,107.101,0.397,0.29702,0.00233,0.50031,0.00207,0.58975,0.00222,0.78512,0.00161,103.669,5.369,0.395,0.002
,RSN4EA,0.49776,0.67716,0.7387,0.8528,189.796,0.581,0.49339,0.66944,0.73081,0.84687,194.157,0.576,0.4994,0.67683,0.7383,0.85264,188.98,0.582,0.49103,0.66727,0.7289,0.84389,194.056,0.574,0.49386,0.67033,0.73223,0.84753,210.688,0.577,0.49509,0.00341,0.67221,0.00451,0.73379,0.00446,0.84875,0.00388,195.535,8.798,0.578,0.004
,MultiKE,0.64216,0.69524,0.71879,0.78284,276.772,0.669,0.64546,0.69859,0.72284,0.78649,273.009,0.673,0.64464,0.69627,0.71983,0.78249,319.447,0.671,0.6424,0.69909,0.7236,0.78969,286.256,0.671,0.63721,0.69201,0.71471,0.78149,286.29,0.665,0.64237,0.00322,0.69624,0.00285,0.71995,0.00355,0.7846,0.00342,288.355,18.337,0.67,0.003
,RDGCN,0.71769,0.79027,0.81033,0.84754,"1,863.38",0.751,0.71706,0.78711,0.8067,0.84404,"2,036.04",0.75,0.71221,0.7859,0.80576,0.8433,"1,936.60",0.746,0.71371,0.78626,0.8065,0.84337,"2,040.67",0.747,0.71256,0.78474,0.80503,0.84233,"1,978.93",0.747,0.71465,0.00256,0.78686,0.00209,0.80686,0.00205,0.84412,0.00201,"1,971.12",74.013,0.748,0.002
EN-DE,MTransE,0.11384,0.21116,0.26463,0.42129,"1,395.85",0.166,0.1129,0.21543,0.26716,0.42247,"1,393.05",0.167,0.11924,0.2197,0.27084,0.42663,"1,374.81",0.172,0.11293,0.21091,0.26251,0.41523,"1,368.07",0.165,0.11641,0.21676,0.27097,0.42594,"1,319.18",0.17,0.11506,0.00274,0.21479,0.00376,0.26722,0.00374,0.42231,0.00456,"1,370.19",30.86,0.168,0.003
