15K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
,JAPE,0.29438,0.52648,0.6239,0.81105,76.84,0.404,0.28229,0.52543,0.62886,0.8161,99.126,0.397,0.30495,0.53143,0.62867,0.80076,94.89,0.413,0.28771,0.51667,0.6141,0.79429,88.652,0.396,0.28952,0.52181,0.62657,0.80438,85.742,0.4,0.29177,0.00854,0.52436,0.00551,0.62442,0.00611,0.80532,0.00855,89.05,8.6,0.402,0.007
,KDCoE,0.72152,0.8301,0.86467,0.92248,23.112,0.771,0.72762,0.83724,0.87,0.91648,25.666,0.777,0.73895,0.83171,0.86438,0.91362,31.442,0.782,0.72676,0.84057,0.87152,0.91771,25.562,0.778,0.73667,0.84324,0.87457,0.91695,30.828,0.784,0.7303,0.00728,0.83657,0.00562,0.86903,0.00443,0.91745,0.00321,27.322,3.634,0.778,0.005
,BootEA,0.66133,0.8541,0.90838,0.98324,24.088,0.747,0.65095,0.84352,0.89905,0.97486,17.195,0.737,0.66724,0.85648,0.91219,0.97971,33.321,0.751,0.65876,0.8481,0.90467,0.9739,31.368,0.743,0.66114,0.84648,0.90343,0.97876,22.386,0.744,0.65988,0.00589,0.84974,0.0054,0.90554,0.00499,0.97809,0.00379,25.672,6.635,0.745,0.005
,GCN-Align,0.41895,0.70171,0.80124,0.92829,116.965,0.545,0.40733,0.6879,0.78648,0.91562,140.342,0.533,0.41048,0.6941,0.79295,0.92333,143.674,0.54,0.41352,0.70524,0.80086,0.92648,119.816,0.545,0.42,0.70229,0.79619,0.92086,135.926,0.547,0.41406,0.00542,0.69825,0.0071,0.79554,0.00612,0.92292,0.00498,131.345,12.182,0.542,0.005
,AttrE,0.55619,0.76714,0.82333,0.91057,21.554,0.651,0.5319,0.74105,0.80371,0.898,28.163,0.628,0.53181,0.74133,0.80086,0.89276,31.417,0.627,0.51352,0.73048,0.79552,0.89343,28.927,0.613,0.54019,0.7479,0.8099,0.89914,26.346,0.635,0.53472,0.01547,0.74558,0.01357,0.80666,0.01066,0.89878,0.00715,27.281,3.683,0.631,0.014
,IMUSE,0.62105,0.77657,0.838,0.9439,16.007,0.692,0.61886,0.77105,0.83029,0.93971,17.346,0.689,0.60029,0.75162,0.818,0.92581,24.314,0.67,0.60619,0.76,0.82829,0.93819,20.276,0.678,0.59105,0.7421,0.806,0.91962,25.819,0.661,0.60749,0.01262,0.76027,0.01403,0.82412,0.01239,0.93345,0.01025,20.752,4.263,0.678,0.013
,SEA,0.36448,0.65914,0.77476,0.95314,26.332,0.5,0.36343,0.65495,0.77505,0.95514,27.336,0.498,0.3321,0.62171,0.7479,0.9301,38.947,0.466,0.36067,0.6499,0.76971,0.94857,26.334,0.494,0.38171,0.67124,0.7841,0.95381,26.598,0.513,0.36048,0.01789,0.65139,0.01837,0.7703,0.01356,0.94815,0.01039,29.109,5.515,0.494,0.017
,RSN4EA,0.578,0.75362,0.80686,0.89971,50.726,0.659,0.57629,0.75448,0.81324,0.90333,53.84,0.658,0.57133,0.75714,0.81124,0.90314,56.231,0.656,0.58305,0.76057,0.816,0.91276,43.893,0.666,0.58714,0.76857,0.82171,0.91505,39.833,0.669,0.57916,0.00612,0.75888,0.00606,0.81381,0.00553,0.9068,0.00669,48.905,6.87,0.662,0.006
,MultiKE,0.86133,0.90857,0.92333,0.95581,11.383,0.884,0.86276,0.90838,0.92362,0.95257,10.776,0.885,0.85495,0.90171,0.9181,0.94981,13.611,0.877,0.87543,0.9161,0.92924,0.95743,11.662,0.895,0.86543,0.91105,0.92476,0.9541,12.941,0.887,0.86398,0.00747,0.90916,0.0052,0.92381,0.00398,0.95394,0.00294,12.075,1.167,0.885,0.006
,RDGCN,0.84848,0.91876,0.934,0.96067,58.21,0.881,0.8541,0.92476,0.938,0.96438,53.283,0.886,0.83838,0.91486,0.92952,0.95467,70.628,0.873,0.84657,0.91971,0.93543,0.96019,61.311,0.88,0.84686,0.91619,0.93238,0.95886,65.155,0.879,0.84688,0.00564,0.91886,0.00383,0.93387,0.00319,0.95975,0.0035,61.717,6.611,0.88,0.005
EN-DE,MTransE,0.19648,0.3541,0.43362,0.65333,201.768,0.277,0.17333,0.32248,0.39924,0.6279,208.141,0.251,0.21343,0.38362,0.46143,0.68257,186.273,0.299,0.18124,0.33819,0.41762,0.64029,186.919,0.262,0.19838,0.36152,0.44152,0.66295,184.406,0.282,0.19257,0.01567,0.35198,0.02322,0.43069,0.02362,0.65341,0.021,193.501,10.735,0.274,0.018
,IPTransE,0.46295,0.67,0.74495,0.8839,60.394,0.56,0.4861,0.68333,0.75562,0.89057,51.156,0.579,0.4679,0.66476,0.73914,0.87752,57.045,0.562,0.47486,0.68286,0.75067,0.88505,52.596,0.572,0.49029,0.69105,0.7581,0.88657,55.783,0.583,0.47642,0.01165,0.6784,0.01073,0.7497,0.00776,0.88472,0.00475,55.395,3.663,0.571,0.01
,JAPE,0.15952,0.31429,0.39438,0.6299,165.972,0.24,0.16895,0.3299,0.41362,0.65657,144.644,0.252,0.17619,0.3419,0.43257,0.67619,120.781,0.262,0.15086,0.31419,0.40457,0.6441,138.206,0.235,0.17771,0.34619,0.43,0.6621,130.026,0.264,0.16665,0.01139,0.32929,0.01498,0.41503,0.01635,0.65377,0.01763,139.926,17.089,0.25,0.013
,KDCoE,0.6579,0.78924,0.83562,0.9381,16.729,0.72,0.62552,0.7621,0.8099,0.92333,17.885,0.692,0.65486,0.79914,0.84257,0.94019,15.328,0.723,0.64,0.78486,0.83486,0.93257,15.631,0.708,0.6679,0.80648,0.85152,0.93914,14.215,0.732,0.64924,0.0166,0.78836,0.01693,0.83489,0.0155,0.93467,0.00699,15.958,1.401,0.715,0.016
,BootEA,0.84962,0.92229,0.94552,0.98162,11.535,0.883,0.84143,0.91533,0.9379,0.97733,22.331,0.876,0.82238,0.90286,0.92895,0.97714,14.105,0.86,0.81352,0.90448,0.93038,0.97733,13.44,0.855,0.83848,0.91352,0.93629,0.97819,19.598,0.873,0.83309,0.01474,0.9117,0.00805,0.93581,0.00662,0.97832,0.00189,16.202,4.553,0.869,0.012
,GCN-Align,0.54124,0.72524,0.78657,0.90448,100.808,0.626,0.53533,0.71314,0.77552,0.89086,118.136,0.618,0.52838,0.7139,0.7759,0.89438,96.695,0.613,0.52848,0.71733,0.78438,0.89952,98.256,0.616,0.53448,0.71333,0.77524,0.8899,126.185,0.619,0.53358,0.00538,0.71659,0.00513,0.77952,0.00549,0.89583,0.00613,108.016,13.303,0.618,0.005
,AttrE,0.62686,0.80838,0.85848,0.94248,17.202,0.708,0.65752,0.82076,0.86705,0.94933,13.681,0.732,0.64286,0.80743,0.85552,0.94524,15.373,0.719,0.6561,0.81638,0.86514,0.94562,14.613,0.73,0.66571,0.82505,0.87048,0.94752,14.802,0.739,0.64981,0.01522,0.8156,0.00767,0.86333,0.00618,0.94604,0.00257,15.134,1.306,0.726,0.012
,IMUSE,0.68552,0.808,0.84914,0.934,15.949,0.743,0.67343,0.8081,0.84971,0.93171,18.235,0.736,0.66362,0.79181,0.836,0.91876,22.769,0.724,0.68381,0.81133,0.85076,0.93505,17.018,0.743,0.66124,0.79781,0.84143,0.92448,20.187,0.724,0.67352,0.01117,0.80341,0.00824,0.84541,0.00643,0.9288,0.00696,18.832,2.706,0.734,0.01
,SEA,0.61543,0.78724,0.8459,0.95371,15.123,0.695,0.57381,0.75267,0.82,0.93733,26.233,0.659,0.5919,0.7719,0.83371,0.94295,18.27,0.675,0.63676,0.79848,0.85657,0.95352,19.263,0.712,0.61314,0.78514,0.84524,0.94705,17.947,0.692,0.60621,0.02409,0.77909,0.01753,0.84028,0.01393,0.94691,0.00703,19.367,4.135,0.687,0.02
,RSN4EA,0.802,0.89619,0.92067,0.958,21.04,0.845,0.78724,0.88524,0.91438,0.95648,23.243,0.832,0.78067,0.8821,0.90895,0.94838,32.145,0.827,0.78724,0.89343,0.92076,0.96133,24.065,0.836,0.79857,0.89543,0.92238,0.96229,17.839,0.843,0.79114,0.00885,0.89048,0.00639,0.91743,0.00564,0.9573,0.00552,23.666,5.317,0.837,0.008
,MultiKE,0.75714,0.81438,0.83724,0.89105,45.38,0.786,0.75943,0.81495,0.83676,0.89248,46.662,0.787,0.74371,0.80105,0.82667,0.89114,48.203,0.773,0.76429,0.82181,0.84295,0.89657,42.453,0.792,0.75067,0.81038,0.83333,0.89048,43.512,0.78,0.75505,0.00801,0.81251,0.00761,0.83539,0.00597,0.89234,0.00247,45.242,2.322,0.784,0.007
,RDGCN,0.84019,0.896,0.9099,0.93876,74.429,0.866,0.83981,0.89657,0.91114,0.94105,70.673,0.866,0.82343,0.88448,0.89829,0.93295,74.645,0.851,0.82857,0.88867,0.90419,0.936,70.387,0.857,0.83219,0.88886,0.90295,0.936,83.632,0.859,0.83284,0.00724,0.89092,0.00521,0.90529,0.00527,0.93695,0.00308,74.753,5.354,0.86,0.006
D-W,MTransE,0.25848,0.48038,0.56886,0.76752,147.437,0.365,0.27,0.48743,0.58076,0.76295,149.111,0.374,0.27781,0.49467,0.58943,0.77467,130.939,0.382,0.25829,0.47676,0.57343,0.7701,132.884,0.363,0.28914,0.51295,0.60533,0.78486,169.582,0.394,0.27074,0.01318,0.49044,0.01434,0.58356,0.01445,0.77202,0.00834,145.991,15.546,0.376,0.013
,IPTransE,0.42143,0.636,0.71438,0.86095,120.301,0.521,0.40848,0.614,0.6961,0.8479,128.873,0.506,0.41495,0.626,0.70267,0.85267,120.778,0.514,0.41105,0.62419,0.70314,0.8521,111.142,0.511,0.40333,0.61276,0.692,0.8361,137.663,0.502,0.41185,0.00682,0.62259,0.00955,0.70166,0.0085,0.84994,0.00907,123.751,9.994,0.511,0.007
,JAPE,0.25714,0.48067,0.5819,0.77714,100.588,0.364,0.24371,0.45676,0.54533,0.73562,117.69,0.345,0.27381,0.50333,0.59705,0.78495,91.802,0.381,0.262,0.47857,0.57943,0.77124,91.836,0.366,0.27438,0.50057,0.6019,0.79143,93.197,0.383,0.26221,0.01275,0.48398,0.01891,0.58112,0.02219,0.77208,0.02177,99.023,11.053,0.368,0.015
,KDCoE,0.38086,0.61276,0.69314,0.84505,115.572,0.49,0.41552,0.64819,0.73114,0.88371,76.555,0.525,0.4301,0.66429,0.74371,0.882,68.508,0.54,0.41095,0.64305,0.72267,0.86067,113.295,0.518,0.38848,0.62952,0.70876,0.856,84.55,0.501,0.40518,0.0202,0.63956,0.01948,0.71988,0.01963,0.86549,0.01685,91.696,21.532,0.515,0.02
,BootEA,0.8259,0.92629,0.94905,0.98229,29.899,0.87,0.82371,0.92876,0.95286,0.98619,9.574,0.871,0.81867,0.92848,0.95067,0.98619,13.621,0.866,0.81952,0.92457,0.94933,0.98429,14.743,0.866,0.81581,0.92086,0.9481,0.98295,24.11,0.863,0.82072,0.00405,0.92579,0.00324,0.95,0.00184,0.98438,0.0018,18.389,8.351,0.867,0.003
,GCN-Align,0.51276,0.74952,0.82295,0.91695,156.933,0.618,0.50876,0.74543,0.81924,0.91705,137.017,0.616,0.50676,0.7399,0.81971,0.9221,116.502,0.612,0.49676,0.7359,0.81238,0.91333,158.651,0.604,0.506,0.74305,0.816,0.91343,160.976,0.611,0.50621,0.0059,0.74276,0.0052,0.81806,0.00402,0.91657,0.00358,146.016,19.07,0.612,0.005
,AttrE,0.4899,0.69324,0.77295,0.90352,29.545,0.586,0.47676,0.68705,0.76105,0.89533,29.704,0.575,0.4901,0.69705,0.76952,0.90543,26.181,0.586,0.51533,0.72057,0.788,0.91781,27.24,0.609,0.47448,0.67876,0.75248,0.89067,34.471,0.57,0.48931,0.01624,0.69533,0.01571,0.7688,0.01335,0.90255,0.01043,29.428,3.196,0.585,0.015
,IMUSE,0.58667,0.78171,0.85286,0.958,32.484,0.676,0.56933,0.76771,0.84333,0.9541,37.282,0.661,0.58352,0.77971,0.85114,0.95943,23.194,0.673,0.60286,0.79257,0.86152,0.96276,27.067,0.69,0.56038,0.76657,0.84067,0.94676,39.162,0.654,0.58055,0.01641,0.77765,0.01078,0.8499,0.00827,0.95621,0.00613,31.838,6.73,0.671,0.014
,SEA,0.56257,0.76895,0.8461,0.95895,26.652,0.657,0.58114,0.78248,0.85771,0.96486,21.73,0.673,0.56486,0.76971,0.84676,0.95771,25.57,0.659,0.56381,0.76695,0.84286,0.95162,25.498,0.657,0.5621,0.76295,0.84371,0.95457,28.798,0.655,0.5669,0.00804,0.77021,0.00734,0.84743,0.00597,0.95754,0.00499,25.65,2.565,0.66,0.008
,RSN4EA,0.72219,0.85343,0.88895,0.94362,31.285,0.781,0.73171,0.8601,0.89524,0.94648,30.333,0.79,0.72552,0.85333,0.88895,0.94505,28.998,0.783,0.72457,0.8581,0.892,0.94524,29.178,0.784,0.71162,0.84333,0.88105,0.93848,36.908,0.772,0.72312,0.00733,0.85366,0.00648,0.88924,0.00526,0.94377,0.00313,31.34,3.247,0.782,0.006
,MultiKE,0.50076,0.64857,0.7299,0.88962,40.094,0.574,0.50562,0.66514,0.73752,0.89505,36.574,0.582,0.47981,0.62514,0.70381,0.86943,41.997,0.552,0.494,0.65514,0.732,0.88686,35.356,0.571,0.49314,0.63638,0.71886,0.88038,38.918,0.566,0.49467,0.00975,0.64607,0.01569,0.72442,0.01337,0.88427,0.00983,38.588,2.669,0.569,0.011
,RDGCN,0.61714,0.75362,0.80162,0.87295,235.226,0.678,0.62543,0.75981,0.81076,0.87686,221.446,0.687,0.6219,0.75419,0.80305,0.87086,248.13,0.681,0.63305,0.76286,0.81105,0.87714,220.503,0.692,0.61971,0.75619,0.8,0.86943,221.442,0.681,0.62345,0.00617,0.75733,0.00393,0.8053,0.00523,0.87345,0.00348,229.349,12.15,0.684,0.005
D-Y,MTransE,0.44876,0.64114,0.71619,0.84829,87.659,0.54,0.45124,0.64133,0.71657,0.8479,84.736,0.541,0.41543,0.61162,0.68343,0.82095,102.028,0.507,0.45819,0.64238,0.71333,0.84648,75.233,0.545,0.44286,0.63895,0.70562,0.84171,76.423,0.534,0.4433,0.01652,0.63508,0.01318,0.70703,0.01391,0.84107,0.01155,85.216,10.791,0.533,0.015
,IPTransE,0.77162,0.88924,0.92286,0.97257,16.287,0.825,0.74086,0.8659,0.90514,0.96543,18.71,0.798,0.76857,0.88305,0.91686,0.972,20.81,0.821,0.74495,0.86952,0.90943,0.96819,24.734,0.803,0.732,0.85733,0.89686,0.96438,13.267,0.79,0.7516,0.01755,0.87301,0.01297,0.91023,0.01011,0.96851,0.00372,18.762,4.364,0.808,0.015
,JAPE,0.34057,0.53429,0.61276,0.76962,90.031,0.434,0.356,0.55333,0.63552,0.79533,85.29,0.45,0.33238,0.53333,0.61486,0.78467,89.59,0.427,0.34171,0.54533,0.62648,0.79467,77.72,0.437,0.35524,0.56333,0.64257,0.8001,69.967,0.453,0.34518,0.01019,0.54592,0.01277,0.62644,0.01288,0.78888,0.01214,82.52,8.583,0.44,0.011
,KDCoE,0.88971,0.97448,0.9839,0.99533,2.253,0.929,0.87695,0.97038,0.98152,0.99429,2.328,0.921,0.89705,0.97457,0.98457,0.9959,1.883,0.934,0.91333,0.97743,0.98629,0.99619,1.869,0.943,0.89819,0.97524,0.98343,0.99571,1.917,0.934,0.89505,0.01327,0.97442,0.00255,0.98394,0.00173,0.99548,0.00074,2.05,0.222,0.932,0.008
,BootEA,0.95952,0.98343,0.99048,0.99629,10.152,0.97,0.95648,0.98257,0.98971,0.99714,4.615,0.968,0.95638,0.98257,0.988,0.99686,4.57,0.968,0.95857,0.98514,0.99133,0.99752,2.201,0.97,0.95829,0.98581,0.99143,0.99933,2.448,0.97,0.95785,0.00137,0.9839,0.0015,0.99019,0.00141,0.99743,0.00115,4.797,3.202,0.969,0.001
,GCN-Align,0.87638,0.9459,0.96,0.9781,65.931,0.907,0.86867,0.94419,0.96076,0.97771,55.105,0.903,0.87886,0.948,0.96267,0.98152,48.756,0.91,0.87943,0.95429,0.9681,0.98457,37.083,0.912,0.86962,0.94867,0.96429,0.98419,28.793,0.904,0.87459,0.00511,0.94821,0.00383,0.96316,0.00323,0.98122,0.00325,47.134,14.637,0.907,0.004
,AttrE,0.90524,0.96467,0.97705,0.99505,2.229,0.932,0.92752,0.97571,0.98543,0.9959,1.923,0.949,0.89076,0.96048,0.97571,0.99295,3.736,0.922,0.92181,0.97619,0.98571,0.99648,1.991,0.946,0.92295,0.97457,0.98438,0.99667,1.816,0.946,0.91366,0.01533,0.97032,0.00725,0.98166,0.00486,0.99541,0.00151,2.339,0.796,0.939,0.012
,IMUSE,0.90838,0.95267,0.96724,0.98962,19.423,0.928,0.89752,0.95029,0.96714,0.99238,8.881,0.921,0.88171,0.93686,0.95448,0.98619,17.309,0.907,0.90638,0.95438,0.97152,0.99438,5.748,0.929,0.89876,0.95114,0.96867,0.99371,2.311,0.922,0.89855,0.01052,0.94907,0.007,0.96581,0.00658,0.99126,0.00337,10.734,7.382,0.922,0.009
,SEA,0.902,0.9519,0.96667,0.99067,11.481,0.924,0.9039,0.95267,0.97076,0.99305,4.11,0.927,0.89305,0.94657,0.96381,0.992,8.697,0.918,0.90238,0.95229,0.9701,0.99362,9.273,0.925,0.89362,0.94838,0.96686,0.99295,3.038,0.919,0.89899,0.00521,0.95036,0.00273,0.96764,0.00283,0.99246,0.00116,7.32,3.594,0.923,0.004
,RSN4EA,0.9339,0.97429,0.9819,0.99238,8.621,0.952,0.93057,0.97362,0.98362,0.99467,4.838,0.95,0.93095,0.97286,0.98057,0.99314,4.221,0.95,0.93724,0.97495,0.98219,0.99171,5.632,0.954,0.93238,0.976,0.98429,0.99543,2.699,0.952,0.93301,0.00271,0.97434,0.00121,0.98251,0.00147,0.99347,0.00156,5.202,2.193,0.951,0.002
,MultiKE,0.85038,0.90495,0.92467,0.96362,9.689,0.876,0.8601,0.90781,0.92486,0.962,10.043,0.883,0.85743,0.90762,0.92705,0.96429,10.5,0.881,0.85829,0.90943,0.92819,0.96514,9.846,0.883,0.8559,0.91038,0.92857,0.96505,9.698,0.881,0.85642,0.0037,0.90804,0.00207,0.92667,0.00183,0.96402,0.00129,9.955,0.337,0.881,0.003
,RDGCN,0.93333,0.96457,0.97219,0.98524,13.51,0.948,0.93257,0.96543,0.97257,0.98505,13.961,0.948,0.93638,0.96667,0.97371,0.986,11.557,0.95,0.93676,0.96552,0.97257,0.98476,14.201,0.95,0.93962,0.96762,0.97457,0.98581,15.641,0.953,0.93573,0.00284,0.96596,0.00119,0.97312,0.00099,0.98537,0.00052,13.774,1.474,0.95,0.002
