15K_V1,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
,JAPE,0.2741,0.50124,0.59629,0.77629,148.225,0.381,0.28048,0.49829,0.59943,0.78505,122.153,0.386,0.29171,0.51486,0.60771,0.78867,141.562,0.397,0.28152,0.50295,0.59943,0.78314,149.724,0.387,0.31362,0.54086,0.63381,0.8001,141.456,0.42,0.28829,0.0155,0.51164,0.01751,0.60733,0.0154,0.78665,0.00876,140.624,10.992,0.394,0.016
,KDCoE,0.54152,0.64171,0.69514,0.82038,112.279,0.593,0.53619,0.63905,0.68829,0.81638,122.311,0.588,0.52495,0.61657,0.6659,0.78543,125.599,0.573,0.50629,0.60933,0.66219,0.79229,123.445,0.558,0.53638,0.63705,0.68476,0.8019,140.584,0.587,0.52907,0.0141,0.62874,0.01473,0.67926,0.01444,0.80328,0.01504,124.844,10.18,0.58,0.014
,BootEA,0.67143,0.818,0.866,0.93276,109.236,0.737,0.68,0.82533,0.86848,0.93743,106.749,0.746,0.678,0.82048,0.86219,0.93171,140.544,0.742,0.67048,0.81448,0.86029,0.92657,138.977,0.735,0.67362,0.81952,0.86667,0.93048,133.154,0.739,0.67471,0.00414,0.81956,0.00395,0.86473,0.00338,0.93179,0.00393,125.732,16.45,0.74,0.004
,GCN-Align,0.48019,0.68086,0.75371,0.85257,352.029,0.571,0.48152,0.67438,0.75067,0.85267,336.176,0.57,0.48143,0.67705,0.75238,0.84771,353.646,0.569,0.47829,0.674,0.7479,0.84829,380.793,0.568,0.4859,0.68695,0.75924,0.85686,338.785,0.576,0.48147,0.0028,0.67865,0.00539,0.75278,0.00421,0.85162,0.00374,352.286,17.723,0.571,0.003
,AttrE,0.51152,0.68324,0.73905,0.85352,72.563,0.591,0.51762,0.69429,0.74971,0.85733,73.788,0.6,0.5359,0.70524,0.7581,0.86486,64.999,0.614,0.50533,0.67095,0.72981,0.84476,78.392,0.584,0.51524,0.6821,0.74133,0.85324,73.769,0.594,0.51712,0.01148,0.68716,0.01305,0.7436,0.01077,0.85474,0.00729,72.702,4.849,0.597,0.011
,IMUSE,0.56714,0.71048,0.7721,0.88581,95.968,0.636,0.60657,0.74343,0.79886,0.90181,76.881,0.671,0.57467,0.712,0.76476,0.87238,119.068,0.64,0.58514,0.72467,0.78267,0.89162,99.238,0.652,0.56657,0.71105,0.76962,0.88362,97.266,0.635,0.58002,0.01663,0.72033,0.01419,0.7776,0.01357,0.88705,0.01081,97.684,14.963,0.647,0.015
,SEA,0.53571,0.72686,0.80629,0.91686,109.544,0.624,0.48467,0.67619,0.76124,0.89029,135.751,0.575,0.54924,0.73657,0.81438,0.91762,112.91,0.635,0.53276,0.71314,0.78752,0.90686,160.382,0.617,0.54962,0.73914,0.81086,0.92057,99.512,0.636,0.5304,0.02669,0.71838,0.0257,0.79606,0.02205,0.91044,0.01239,123.62,24.457,0.617,0.025
,RSN4EA,0.5861,0.754,0.8101,0.89314,89.049,0.663,0.58857,0.74867,0.80762,0.902,75.758,0.663,0.58676,0.75381,0.81286,0.90362,74.417,0.663,0.58629,0.75562,0.81086,0.90648,70.732,0.663,0.58533,0.74971,0.81114,0.90467,75.835,0.66,0.58661,0.00121,0.75236,0.003,0.81052,0.00191,0.90198,0.0052,77.158,6.963,0.662,0.001
,MultiKE,0.75343,0.80962,0.8299,0.88495,81.908,0.781,0.75495,0.8059,0.82505,0.87733,100.623,0.78,0.76219,0.81324,0.83248,0.87924,94.732,0.787,0.75248,0.80667,0.82619,0.87695,91.882,0.779,0.75562,0.80714,0.82781,0.87971,88.328,0.781,0.75573,0.00381,0.80851,0.00299,0.82829,0.00297,0.87964,0.0032,91.495,6.998,0.782,0.003
,RDGCN,0.82457,0.89333,0.91352,0.9459,66.13,0.855,0.83248,0.8979,0.91581,0.94629,69.571,0.862,0.822,0.89029,0.90943,0.94105,74.418,0.853,0.83248,0.896,0.91676,0.94457,65.878,0.861,0.83619,0.89905,0.91857,0.94895,59.669,0.865,0.82954,0.00598,0.89531,0.00355,0.91482,0.00352,0.94535,0.00288,67.133,5.415,0.859,0.005
D-W,MTransE,0.25457,0.46038,0.54267,0.702,298.169,0.352,0.25476,0.45924,0.53495,0.69571,349.548,0.35,0.25905,0.45933,0.53952,0.70257,318.066,0.353,0.27286,0.48,0.5579,0.70886,352.695,0.368,0.25467,0.44714,0.52781,0.69429,337.245,0.347,0.25918,0.00788,0.46122,0.01182,0.54057,0.01118,0.70069,0.00587,331.145,22.906,0.354,0.008
,IPTransE,0.22286,0.36848,0.42886,0.54667,936.864,0.292,0.24219,0.40181,0.46171,0.58962,850.241,0.317,0.23552,0.38629,0.44562,0.5699,897.261,0.307,0.21581,0.36095,0.41762,0.53286,"1,001.45",0.285,0.2439,0.38476,0.44486,0.57029,923.566,0.312,0.23206,0.01228,0.38046,0.01607,0.43973,0.01696,0.56187,0.02224,921.877,55.446,0.303,0.014
,JAPE,0.24324,0.44429,0.52695,0.70314,206.718,0.339,0.25448,0.4641,0.54429,0.7021,267.517,0.353,0.25552,0.46733,0.54676,0.7039,262.96,0.354,0.25533,0.46048,0.54838,0.71371,247.013,0.352,0.24143,0.44981,0.53771,0.70495,234.434,0.341,0.25,0.00704,0.4572,0.00978,0.54082,0.00875,0.70556,0.00467,243.728,24.509,0.348,0.007
,KDCoE,0.25505,0.42562,0.48857,0.62362,683.311,0.335,0.26333,0.44076,0.50181,0.62829,691.441,0.346,0.2381,0.40086,0.46057,0.59314,773.191,0.316,0.2161,0.36686,0.42762,0.56762,794.792,0.29,0.26181,0.42457,0.48876,0.61362,708.421,0.339,0.24688,0.0199,0.41173,0.02886,0.47347,0.02972,0.60526,0.02501,730.231,50.486,0.325,0.023
,BootEA,0.578,0.75019,0.80067,0.87448,263.794,0.655,0.57362,0.74352,0.79086,0.8659,298.135,0.65,0.55848,0.732,0.78562,0.86352,301.732,0.637,0.57133,0.74486,0.79333,0.87219,280.813,0.649,0.58019,0.74905,0.79419,0.8681,286.857,0.656,0.57232,0.00849,0.74392,0.00722,0.79293,0.00546,0.86884,0.00449,286.266,15.126,0.649,0.008
,GCN-Align,0.37333,0.58257,0.64895,0.74924,749.605,0.467,0.37381,0.59657,0.66781,0.7639,734.979,0.472,0.35305,0.57429,0.64276,0.7459,750.627,0.452,0.35905,0.57648,0.64486,0.74619,783.548,0.457,0.36305,0.5721,0.638,0.73829,807.523,0.457,0.36446,0.00905,0.5804,0.00985,0.64848,0.01151,0.7487,0.00941,765.256,29.567,0.461,0.008
,AttrE,0.30181,0.46914,0.54362,0.71343,200.938,0.383,0.30419,0.46971,0.5399,0.70619,200.855,0.386,0.29962,0.46362,0.53733,0.70771,185.596,0.38,0.29324,0.46714,0.5399,0.70914,195.098,0.378,0.29857,0.46543,0.53552,0.70114,200.672,0.38,0.29949,0.0041,0.46701,0.00254,0.53925,0.00306,0.70752,0.00447,196.632,6.649,0.381,0.003
,IMUSE,0.34762,0.55838,0.63695,0.77857,401.412,0.444,0.30676,0.49543,0.572,0.71276,533.046,0.396,0.33505,0.53181,0.61552,0.75533,475.01,0.428,0.32714,0.52143,0.60314,0.74505,470.335,0.419,0.31695,0.50971,0.5879,0.72971,529.727,0.407,0.3267,0.01581,0.52335,0.02381,0.6031,0.02499,0.74428,0.02502,481.906,53.765,0.419,0.019
,SEA,0.36771,0.59067,0.6779,0.81333,360.245,0.47,0.36457,0.57152,0.6561,0.79295,365.806,0.461,0.37086,0.57619,0.66505,0.80343,408.579,0.467,0.35486,0.57219,0.65429,0.80267,385.865,0.454,0.3401,0.54848,0.62971,0.77876,431.953,0.437,0.35962,0.01245,0.57181,0.01516,0.65661,0.0177,0.79823,0.01305,390.49,29.966,0.458,0.013
,RSN4EA,0.44276,0.61695,0.67381,0.77381,238.748,0.523,0.4439,0.62181,0.674,0.78067,203.628,0.526,0.44429,0.61829,0.67086,0.77886,202.949,0.524,0.42648,0.60448,0.66324,0.76771,226.53,0.509,0.44781,0.6159,0.67095,0.77248,212.431,0.525,0.44105,0.00836,0.61549,0.00654,0.67057,0.00437,0.77471,0.00518,216.857,15.498,0.521,0.007
