,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,TransH,0.23589,0.40661,0.48100,0.66046,376.622,0.320,0.24894,0.42606,0.50419,0.68386,283.881,0.336,0.26939,0.45699,0.53766,0.72287,222.104,0.360,0.25780,0.43786,0.51767,0.69631,273.809,0.346,0.26217,0.44623,0.52340,0.70404,267.334,0.352,0.25484,0.01292,0.43475,0.01939,0.51278,0.02144,0.69351,0.02327,284.750,56.544,0.343,0.016
,TransD,0.24464,0.41693,0.49136,0.66471,394.051,0.329,0.23670,0.40514,0.47863,0.65213,437.538,0.319,0.24249,0.41219,0.48666,0.66181,441.034,0.326,0.24674,0.42057,0.49331,0.66519,411.471,0.331,0.25151,0.42461,0.50033,0.67181,388.161,0.336,0.24442,0.00545,0.41589,0.00755,0.49006,0.00806,0.66313,0.00716,414.451,24.269,0.328,0.006
,ProjE,0.28499,0.44827,0.51069,0.63049,"4,706.867",0.362,0.28526,0.44590,0.50841,0.63200,"4,594.313",0.361,0.28389,0.44757,0.51031,0.63263,"4,596.678",0.361,0.28989,0.45494,0.51827,0.64079,"4,682.655",0.368,0.28726,0.45161,0.51441,0.63894,"4,665.677",0.365,0.28626,0.00237,0.44966,0.00361,0.51242,0.00393,0.63497,0.00458,"4,649.238",51.204,0.363,0.003
,ConvE,0.21734,0.36823,0.43121,0.56403,"4,250.570",0.290,0.20521,0.34666,0.40770,0.53976,"4,404.334",0.274,0.18616,0.32780,0.38817,0.51996,"4,577.496",0.255,0.20789,0.35557,0.41509,0.55110,"4,383.026",0.279,0.22061,0.36573,0.42606,0.55556,"4,397.539",0.291,0.20744,0.01350,0.35280,0.01640,0.41365,0.01695,0.54608,0.01703,"4,402.593",116.312,0.278,0.015
,SimplE,0.00529,0.01843,0.03010,0.08161,"4,309.120",0.015,0.00537,0.01826,0.02961,0.08429,"3,296.517",0.015,0.00430,0.01539,0.02571,0.07577,"3,639.196",0.013,0.00637,0.02117,0.03366,0.09460,"2,873.691",0.018,0.00507,0.01751,0.02884,0.08089,"3,382.271",0.015,0.00528,0.00074,0.01815,0.00208,0.02958,0.00285,0.08343,0.00696,"3,500.159",529.523,0.015,0.002
,RotatE,0.27311,0.48856,0.58434,0.78009,272.881,0.377,0.27456,0.49514,0.59169,0.78513,273.917,0.381,0.27059,0.49214,0.58959,0.77793,283.996,0.377,0.26580,0.48029,0.57477,0.76599,316.863,0.369,0.26363,0.47857,0.57233,0.76701,317.035,0.367,0.26954,0.00469,0.48694,0.00727,0.58254,0.00868,0.77523,0.00839,292.938,22.345,0.374,0.006
