,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
,,5fold_1,,,,,,5fold_2,,,,,,5fold_3,,,,,,5fold_4,,,,,,5fold_5,,,,,,Hits@1,,Hits@5,,Hits@10,,Hits@50,,MR,,MRR,
,,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,H@1,H@5,H@10,H@50,MR,MRR,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.,avg.,std.
EN-FR,TransH,0.17486,0.32829,0.40276,0.54733,987.195,0.250,0.17486,0.33448,0.40686,0.54162,"1,043.940",0.251,0.17086,0.32743,0.39486,0.53324,"1,018.564",0.246,0.16857,0.31819,0.38295,0.53600,973.313,0.241,0.17343,0.32743,0.39638,0.54029,989.320,0.248,0.17252,0.00274,0.32716,0.00582,0.39676,0.00912,0.53970,0.00542,"1,002.466",28.439,0.247,0.004
,TransD,0.16467,0.30295,0.36181,0.48248,"1,220.319",0.231,0.15743,0.29638,0.36114,0.48305,"1,301.522",0.225,0.16162,0.30762,0.37086,0.49581,"1,183.883",0.231,0.15410,0.28419,0.34771,0.48029,"1,234.452",0.218,0.18343,0.33486,0.40019,0.53533,"1,058.326",0.257,0.16425,0.01145,0.30520,0.01877,0.36834,0.01963,0.49539,0.02314,"1,199.700",89.774,0.232,0.015
,ProjE,0.17010,0.35638,0.42705,0.54095,"1,502.048",0.254,0.14410,0.32133,0.39533,0.51143,"1,508.503",0.226,0.16410,0.34581,0.42171,0.53733,"1,467.951",0.248,0.16314,0.33819,0.40914,0.51638,"1,569.112",0.243,0.16981,0.32733,0.39067,0.49029,"1,650.083",0.243,0.16225,0.01064,0.33781,0.01406,0.40878,0.01589,0.51928,0.02065,"1,539.539",71.743,0.243,0.010
,ConvE,0.16390,0.33152,0.40105,0.51648,"1,499.911",0.241,0.15210,0.31838,0.38810,0.50429,"1,498.270",0.229,0.16305,0.35286,0.42705,0.53838,"1,423.716",0.249,0.14295,0.30648,0.38010,0.49848,"1,455.624",0.220,0.15590,0.32610,0.39743,0.52048,"1,459.570",0.235,0.15558,0.00861,0.32707,0.01721,0.39875,0.01781,0.51562,0.01553,"1,467.418",32.087,0.235,0.011
,SimplE,0.04495,0.11590,0.16381,0.30971,"1,234.381",0.085,0.03333,0.09438,0.14095,0.29714,"1,210.023",0.070,0.04476,0.12629,0.17952,0.34381,"1,096.841",0.090,0.03019,0.09229,0.13248,0.26524,"1,087.355",0.066,0.04248,0.12524,0.17914,0.33286,"1,283.988",0.089,0.03914,0.00690,0.11082,0.01648,0.15918,0.02167,0.30975,0.03096,"1,182.518",86.803,0.080,0.011
,RotatE,0.26571,0.50667,0.61381,0.77543,394.872,0.378,0.25067,0.48952,0.59781,0.75838,411.855,0.364,0.27238,0.53524,0.63886,0.78267,375.793,0.392,0.24162,0.48467,0.59600,0.75629,391.637,0.354,0.25829,0.50762,0.61714,0.77524,364.816,0.374,0.25773,0.01212,0.50474,0.01985,0.61272,0.01736,0.76960,0.01162,387.795,18.137,0.372,0.014
EN-DE,TransH,0.34895,0.51648,0.59476,0.74105,423.339,0.430,0.34276,0.50724,0.58076,0.71886,460.258,0.422,0.34733,0.51219,0.58057,0.71990,454.515,0.426,0.32333,0.48305,0.54819,0.69286,533.032,0.400,0.32667,0.48476,0.55362,0.68467,510.220,0.402,0.33781,0.01197,0.50074,0.01573,0.57158,0.01982,0.71147,0.02272,476.273,44.458,0.416,0.014
,TransD,0.30200,0.47048,0.54200,0.68876,517.098,0.383,0.32162,0.49381,0.56524,0.70924,458.723,0.402,0.31838,0.48486,0.55105,0.70162,469.866,0.398,0.30210,0.46886,0.53419,0.67752,536.804,0.381,0.30029,0.46486,0.53190,0.67152,556.914,0.378,0.30888,0.01024,0.47657,0.01224,0.54488,0.01363,0.68973,0.01584,507.881,42.389,0.389,0.011
,ProjE,0.36257,0.53876,0.60743,0.69200,"1,118.833",0.443,0.35981,0.53352,0.60029,0.68962,"1,148.759",0.439,0.40371,0.57124,0.63486,0.70695,"1,158.460",0.480,0.38190,0.54705,0.60790,0.69248,"1,163.517",0.457,0.37476,0.54238,0.60819,0.69305,"1,185.349",0.452,0.37655,0.01764,0.54659,0.01464,0.61173,0.01334,0.69482,0.00691,"1,154.984",24.252,0.454,0.016
,ConvE,0.34048,0.52114,0.59171,0.68600,"1,101.362",0.423,0.35324,0.52086,0.59400,0.68267,"1,138.913",0.430,0.36257,0.52543,0.58848,0.67695,"1,158.080",0.437,0.34867,0.51438,0.58133,0.68124,"1,117.350",0.426,0.37924,0.54819,0.61476,0.69800,"1,100.102",0.456,0.35684,0.01485,0.52600,0.01302,0.59406,0.01252,0.68497,0.00797,"1,123.161",25.041,0.434,0.013
,SimplE,0.03381,0.10400,0.14895,0.32867,572.272,0.076,0.04095,0.11429,0.16686,0.35229,678.147,0.085,0.02476,0.07495,0.12152,0.30257,776.031,0.060,0.02676,0.08390,0.12762,0.29533,809.156,0.063,0.03533,0.11057,0.15943,0.34629,656.459,0.079,0.03232,0.00659,0.09754,0.01724,0.14488,0.01972,0.32503,0.02547,698.413,95.356,0.072,0.011
,RotatE,0.57581,0.75800,0.82048,0.89724,138.803,0.657,0.58524,0.76724,0.82924,0.90229,121.926,0.666,0.55933,0.74048,0.80352,0.89248,129.480,0.642,0.55848,0.73924,0.80448,0.89086,156.407,0.641,0.57095,0.74886,0.81362,0.89781,137.054,0.651,0.56996,0.01133,0.75076,0.01190,0.81427,0.01089,0.89614,0.00456,136.734,12.877,0.651,0.011
D-W,TransH,0.24552,0.40124,0.46524,0.60219,837.410,0.321,0.24467,0.40105,0.45886,0.58514,853.872,0.318,0.23486,0.38057,0.44524,0.57190,903.214,0.306,0.24505,0.40114,0.46705,0.59229,837.475,0.319,0.23962,0.37981,0.43933,0.56257,946.949,0.306,0.24194,0.00462,0.39276,0.01148,0.45514,0.01231,0.58282,0.01581,875.784,48.055,0.314,0.007
,TransD,0.22943,0.37810,0.43238,0.54590,"1,060.602",0.300,0.24657,0.40733,0.46676,0.58429,912.239,0.322,0.23190,0.37429,0.43676,0.55352,"1,017.714",0.301,0.23133,0.37105,0.42819,0.53400,"1,115.746",0.299,0.21019,0.34143,0.39362,0.49429,"1,217.049",0.273,0.22988,0.01297,0.37444,0.02343,0.43154,0.02607,0.54240,0.03269,"1,064.670",113.231,0.299,0.017
,ProjE,0.18533,0.32657,0.37295,0.46181,"1,749.766",0.251,0.21371,0.36057,0.40705,0.49152,"1,671.207",0.280,0.20981,0.35781,0.40895,0.49762,"1,777.790",0.278,0.19886,0.34829,0.39552,0.48305,"1,650.883",0.268,0.21600,0.35676,0.40181,0.48238,"1,795.782",0.280,0.20474,0.01269,0.35000,0.01388,0.39726,0.01455,0.48328,0.01356,"1,729.086",64.641,0.271,0.013
,ConvE,0.17495,0.31914,0.36981,0.46943,"1,750.155",0.241,0.17895,0.32410,0.37752,0.48410,"1,660.363",0.247,0.18752,0.33429,0.38714,0.49381,"1,640.503",0.257,0.19467,0.34733,0.40267,0.50229,"1,630.122",0.265,0.17314,0.30971,0.36324,0.47229,"1,722.018",0.237,0.18185,0.00906,0.32691,0.01445,0.38008,0.01546,0.48438,0.01396,"1,680.632",52.723,0.249,0.011
,SimplE,0.02714,0.07362,0.10571,0.22476,"1,413.830",0.055,0.02343,0.06429,0.09638,0.22333,"1,139.568",0.050,0.02752,0.07057,0.10629,0.22581,"1,273.475",0.055,0.02381,0.07181,0.10438,0.24114,"1,220.414",0.054,0.02095,0.05790,0.08486,0.19581,"1,388.812",0.045,0.02457,0.00275,0.06764,0.00648,0.09952,0.00912,0.22217,0.01640,"1,287.220",114.896,0.052,0.004
,RotatE,0.26695,0.47429,0.55933,0.70743,491.552,0.364,0.30029,0.51571,0.59724,0.73067,464.130,0.400,0.30352,0.51676,0.59914,0.72848,478.184,0.401,0.27905,0.49324,0.57857,0.72676,472.983,0.379,0.26771,0.47152,0.55695,0.70552,500.179,0.364,0.28350,0.01751,0.49430,0.02170,0.57825,0.02005,0.71977,0.01224,481.406,14.450,0.382,0.018
D-Y,TransH,0.30648,0.44314,0.48076,0.54400,"1,369.459",0.369,0.31362,0.45076,0.48790,0.55514,"1,244.270",0.376,0.32676,0.47190,0.51571,0.58819,"1,190.464",0.394,0.29505,0.43095,0.46381,0.52876,"1,383.740",0.357,0.30362,0.44419,0.47790,0.54143,"1,342.249",0.368,0.30911,0.01190,0.44819,0.01506,0.48522,0.01916,0.55150,0.02255,"1,306.036",84.474,0.373,0.014
,TransD,0.29371,0.43171,0.46657,0.52648,"1,435.450",0.357,0.31533,0.45476,0.49200,0.55705,"1,304.724",0.380,0.29048,0.42029,0.45314,0.51248,"1,473.155",0.349,0.29390,0.43048,0.46476,0.52838,"1,405.436",0.357,0.28448,0.41171,0.44133,0.49629,"1,538.215",0.343,0.29558,0.01168,0.42979,0.01616,0.46356,0.01886,0.52414,0.02246,"1,431.396",86.444,0.357,0.014
,ProjE,0.03038,0.06114,0.07219,0.09381,"4,248.600",0.045,0.01333,0.03343,0.04076,0.05581,"4,752.796",0.023,0.02895,0.05619,0.06419,0.08438,"4,354.027",0.042,0.01590,0.03838,0.04610,0.05962,"4,809.259",0.027,0.02705,0.05486,0.06295,0.08286,"4,453.718",0.040,0.02312,0.00791,0.04880,0.01213,0.05724,0.01323,0.07530,0.01664,"4,523.680",246.676,0.035,0.010
,ConvE,0.06019,0.10943,0.12133,0.15000,"4,181.564",0.083,0.06257,0.11619,0.12962,0.15590,"4,186.499",0.087,0.05990,0.10657,0.12238,0.14819,"4,199.626",0.081,0.06286,0.10971,0.12086,0.14581,"4,222.991",0.084,0.06248,0.10695,0.12038,0.14419,"4,268.994",0.083,0.06160,0.00143,0.10977,0.00386,0.12291,0.00382,0.14882,0.00454,"4,211.935",35.703,0.084,0.002
,SimplE,0.14714,0.29524,0.35990,0.48933,"1,336.640",0.218,0.13638,0.27771,0.34343,0.47200,"1,431.573",0.205,0.11848,0.25000,0.30705,0.44533,"1,514.161",0.182,0.13267,0.26876,0.33257,0.46105,"1,533.247",0.199,0.14324,0.27790,0.34333,0.48876,997.509,0.211,0.13558,0.01111,0.27392,0.01646,0.33726,0.01951,0.47129,0.01877,"1,362.626",218.411,0.203,0.014
,RotatE,0.50200,0.70381,0.75181,0.80543,583.788,0.590,0.46505,0.67686,0.73352,0.79105,551.749,0.559,0.48924,0.69905,0.75257,0.80743,545.604,0.583,0.46457,0.67448,0.72695,0.79114,555.586,0.557,0.49686,0.70562,0.75057,0.80162,544.304,0.589,0.48354,0.01769,0.69196,0.01509,0.74308,0.01198,0.79933,0.00781,556.206,16.086,0.575,0.016
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,each results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,final results,,,,,,,,,,,
