,,15K (V1),,,,,,,15K (V2),,,,,,,100K (V1),,,,,,,100K (V2),,,,,,
,,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.,5fold_1,5fold_2,5fold_3,5fold_4,5fold_5,avg.,std.
EN-FR,MTransE,151,87.5,129.3,133.7,129.8,126.3,23.4,130.5,138.6,114,114.7,143.1,128.2,13.4,645.5,691.6,472.4,570.8,859.6,648,144.5,609.2,526.7,631.9,567.7,484.5,564,60
,IPTransE,964.9,855.2,687.1,954.2,899.3,872.1,112.5,"2,105.60","2,452.10","2,282.30","2,039.10","2,174.60","2,210.80",162.2,"6,467.80","3,932.40","9,159.80","7,534.00","5,697.90","6,558.40","1,959.80","18,719.60","22,811.30","26,170.60","25,910.00","26,409.80","24,004.30","3,296.30"
,JAPE,523.8,458.8,367.5,319.7,601.3,454.2,114.1,210.7,226.5,221.7,223.6,229.2,222.3,7.1,"6,716.80","10,833.70","5,184.80","11,106.80","9,945.10","8,757.50","2,653.70","4,967.00","6,631.60","4,423.30","4,670.70","5,287.60","5,196.00",865.3
,KDCoE,819.9,766.2,653.6,550.1,694.3,696.8,104.1,"1,307.90",909.9,"1,508.40","1,513.60","1,393.20","1,326.60",248.2,"6,728.80","9,754.60","11,940.00","8,435.50","8,960.70","9,163.90","1,907.70","21,211.50","16,139.30","14,488.40","16,688.70","16,478.90","17,001.40","2,507.70"
,BootEA,"2,035.80","2,272.20","1,974.10","1,974.50","2,288.10","2,109.00",158.4,"3,445.30","3,190.50","2,508.30","3,943.80","3,226.50","3,262.90",517.9,"32,240.00","45,311.20","40,188.60","56,619.50","51,522.20","45,176.30","9,532.30","76,403.60","77,942.10","44,756.30","38,198.40","41,953.30","55,850.70","19,610.50"
,GCN-Align,99.2,78.9,67,66.8,115.6,85.5,21.4,80.4,84.1,93.1,112.4,67.6,87.5,16.7,"7,571.50","2,919.90","3,223.00","2,906.60","3,065.20","3,937.20","2,035.70","4,633.20","5,389.90","3,232.20","3,392.20","3,240.90","3,977.70",983
,AttrE,799.3,891.1,"1,160.80",876.8,941.9,934,136.7,"1,159.70","1,393.80","1,226.00","1,555.30","1,608.20","1,388.60",196.8,"6,920.90","6,955.10","10,110.90","7,869.50","5,851.00","7,541.50","1,604.40","7,460.30","8,856.10","5,687.70","7,261.50","6,621.20","7,177.40","1,165.50"
,IMUSE,199.9,301.8,161.4,178.7,203.8,209.1,54.6,309.4,276,198.2,394.8,236.3,283,75.2,"1,819.10","1,543.90","1,771.00","1,863.60","1,742.50","1,748.00",123.1,"1,820.40","3,033.20","1,357.00","2,340.60","2,189.50","2,148.10",623.6
,SEA,226.5,125.8,271.1,202.6,277.1,220.6,61.4,282.4,197.3,226.1,559.2,281.8,309.4,144.4,"2,237.70","3,293.60","1,169.00","2,075.30","1,391.10","2,033.40",835.4,"3,144.80","2,160.70","1,959.50","2,328.60","2,422.30","2,403.20",450.4
,RSN4EA,"2,456.70","2,460.40","2,478.00","2,466.50","2,485.70","2,469.40",12.2,"4,425.70","4,327.60","4,442.00","4,607.50","4,370.00","4,434.50",106.8,"8,289.20","8,538.50","8,349.00","8,412.20","8,576.90","8,433.20",122.5,"14,939.00","16,591.00","15,737.40","15,468.90","15,386.80","15,624.60",611.9
,MultiKE,360.3,335.6,672.1,332.2,480.7,436.2,145.2,756,552.6,700.2,"1,227.20",815.2,810.2,252.6,"3,724.80","2,717.50","4,364.00","3,642.30","2,498.90","3,389.50",769.9,"3,601.10","2,794.10","2,842.00","1,557.90","3,278.20","2,814.70",776.8
,RDGCN,997,"1,411.60",954.5,"1,267.90","1,477.40","1,221.70",237.4,"1,902.50","2,056.40",871.6,"1,296.70","1,634.50","1,552.30",477.5,"5,967.80","5,566.40","4,347.70","5,579.00","6,078.50","5,507.90",687.7,"6,250.00","7,704.50","6,481.00","5,687.30","8,792.10","6,983.00","1,251.20"
